AI Data Generator started...
2025/03/21 07:51:17 Anomaly detected in metric cpu_usage:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.10, confidence: 0.71)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.86, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.49, confidence: 0.75)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.95, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.95, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.98, confidence: 0.80)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.98, confidence: 0.80)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.06, confidence: 0.71)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.60, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.60, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.64, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.64, confidence: 0.76)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.37, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.12, confidence: 0.81)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 4.12, confidence: 0.81)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.41, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.41, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.21, confidence: 0.72)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 6.03, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 6.03, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 4.47, confidence: 0.85)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 4.47, confidence: 0.85)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.96, confidence: 0.80)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.96, confidence: 0.80)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 5.03, confidence: 0.90)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 5.03, confidence: 0.90)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.20, confidence: 0.82)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.20, confidence: 0.82)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.36, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.36, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.85, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 4.34, confidence: 0.83)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 4.28, confidence: 0.83)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 4.28, confidence: 0.83)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 4.22, confidence: 0.82)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 4.22, confidence: 0.82)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.95, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.95, confidence: 0.79)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.78, confidence: 0.78)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.78, confidence: 0.78)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.33, confidence: 0.73)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.33, confidence: 0.73)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 4.48, confidence: 0.85)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 4.48, confidence: 0.85)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.39, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 3.39, confidence: 0.74)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 5.54, confidence: 0.95)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.86, confidence: 0.89)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.86, confidence: 0.89)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 5.18, confidence: 0.92)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 5.18, confidence: 0.92)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.16, confidence: 0.82)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 5.44, confidence: 0.94)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.79, confidence: 0.88)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.79, confidence: 0.88)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 8.37, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 6.74, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.66, confidence: 0.87)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.66, confidence: 0.87)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.78, confidence: 0.78)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 13.05, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 13.05, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 3.77, confidence: 0.78)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 4.56, confidence: 0.86)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 5.56, confidence: 0.96)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.43, confidence: 0.84)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 3.98, confidence: 0.80)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 7.79, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 7.79, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 6.90, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 6.90, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 7.68, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 7.58, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 7.58, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 8.38, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 8.38, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 7.16, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 7.46, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 7.46, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 5.79, confidence: 0.98)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 5.79, confidence: 0.98)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 8.19, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 7.37, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 6.01, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 4.02, confidence: 0.80)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 6.76, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 6.76, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 10.79, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 10.79, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 5.59, confidence: 0.96)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 5.59, confidence: 0.96)
2025/03/21 07:51:17 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:17+01:00 (score: 7.70, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 7.70, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 5.50, confidence: 0.95)
2025/03/21 07:51:17 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:17+01:00 (score: 8.76, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:17+01:00 (score: 8.76, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:17+01:00 (score: 7.00, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:17+01:00 (score: 7.00, confidence: 0.99)
2025/03/21 07:51:17 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:17+01:00 (score: 7.74, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 6.61, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 6.61, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.69, confidence: 0.77)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.69, confidence: 0.77)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.02, confidence: 0.70)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 3.02, confidence: 0.70)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.45, confidence: 0.74)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.45, confidence: 0.74)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.29, confidence: 0.73)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.29, confidence: 0.93)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.29, confidence: 0.93)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.22, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 6.22, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.92, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 7.92, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 6.23, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 6.23, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 6.84, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 6.84, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 3.76, confidence: 0.78)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 5.64, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 4.36, confidence: 0.84)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-1: spike at 2025-03-21T07:51:18+01:00 (score: 4.36, confidence: 0.84)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.79, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 6.79, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric network_traffic:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.24, confidence: 0.92)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 4.91, confidence: 0.89)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 4.91, confidence: 0.89)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.16, confidence: 0.92)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 5.16, confidence: 0.92)
2025/03/21 07:51:18 Anomaly detected in metric node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.56, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-2: spike at 2025-03-21T07:51:18+01:00 (score: 5.56, confidence: 0.96)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 7.50, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 7.50, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-3: spike at 2025-03-21T07:51:18+01:00 (score: 6.14, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric message_rate:node-3: spike at 2025-03-21T07:51:18+01:00 (score: 6.14, confidence: 0.99)
2025/03/21 07:51:18 Anomaly detected in metric node-1: spike at 2025-03-21T07:51:18+01:00 (score: 8.69, confidence: 0.99)
